Right-handed,Left-handed
8625,5740
5775,3947
4876,2714
4530,1513
3660,1188
3615,982
3431,711
3340,513
3160,367
3033,364
3010,227
2941,184
2735,174
2700,163
2590,143
2585,112
2505,79
2310,70
2213,43
1975,40
1906,34
1870,34
1840,30
1725,19
1671,11
1600
1495
1454
1440
1440
1410
1326
1314
1301
1295
1265
1248
1226
1195
1194
1170
1158
1157
1145
1145
1135
1126
1119
1104
1073
1041
1040
1025
1020
1014
1010
993
990
990
973
965
965
963
934
930
898
890
889
885
868
844
825
824
824
816
794
780
770
760
760
758
754
750
747
730
723
717
716
716
711
710
697
694
692
691
687
687
645
645
639
619
609
605
602
597
591
584
578
575
566
543
537
531
511
505
498
494
493
491
467
466
458
455
438
433
432
418
403
403
397
396
388
388
385
378
378
368
366
365
363
358
355
342
338
335
332
322
321
312
300
298
294
289
283
281
280
275
270
269
268
253
250
249
240
239
238
233
232
228
220
220
218
218
211
205
201
197
194
193
193
185
182
179
178
172
153
151
149
144
142
137
136
133
132
130
126
126
122
121
120
119
117
117
114
108
107
103
103
102
100
99
98
97
95
92
90
90
89
88
80
74
74
73
62
61
58
57
56
54
54
48
46
43
40
40
38
37
36
36
32
31
31
26
23
23
22
20
17
16
16
14
14
13
12
12
11
10
7
5
5
5
3
