Right-Handed,Left-Handed
15550,5915
8175,1585
7785,1165
6460,1140
4290,985
3400,984
3120,980
3010,900
2840,853
2740,780
2680,710
2605,680
2460,603
2420,590
2235,590
2015,557
1900,547
1840,533
1765,447
1751,432
1625,391
1580,389
1510,363
1425,363
1420,330
1330,306
1295,299
1240,297
1235,281
1225,221
1220,217
1181,212
1090,191
1057,189
1015,187
1015,173
1005,167
975,155
975,138
955,135
937,134
920,131
919,129
895,112
878,109
871,108
866,95
860,94
825,88
820,81
801,78
794,77
790,76
779,74
762,68
761,65
752,63
749,63
748,61
744,51
739,50
730,50
721,49
716,47
714,41
711,39
706,38
689,38
686,35
680,33
676,32
675,30
660,29
642,27
624,26
623,26
613,22
611,21
594,20
591,19
590,18
579,18
577,17
576,17
575,16
573,16
564,16
552,15
550,14
549,13
545,13
540,13
539,12
539,12
535,10
526,9
519,8
506,8
503,8
501,8
488,8
476,8
459,6
457,5
456,5
456,5
454,4
445,3
434,3
432,3
432,2
429,2
428,2
421,2
421,2
413,2
409,2
405,1
404,1
404,1
402,1
402,1
399,1
397,1
387
385
383
367
367
353
352
342
342
337
334
334
333
333
332
329
319
315
313
311
308
308
308
307
303
302
300
300
298
295
293
292
291
288
285
284
282
279
279
278
276
274
272
272
267
260
258
254
253
251
250
250
249
244
242
241
240
238
234
234
232
232
230
229
222
221
220
220
219
218
213
213
210
207
207
204
204
203
202
200
198
198
195
194
192
191
191
190
188
186
184
184
183
182
178
177
176
175
170
168
168
167
166
165
162
161
160
160
159
159
158
158
154
153
153
151
150
150
150
150
148
148
148
148
146
145
144
143
143
140
140
138
138
138
134
132
132
131
127
126
125
125
124
124
123
123
122
122
121
119
119
119
118
117
117
117
117
116
116
115
113
112
112
111
110
108
108
108
106
106
105
105
105
105
104
103
103
103
101
100
99
97
97
95
95
93
93
92
91
91
90
89
89
88
88
87
87
85
84
84
83
83
83
83
82
80
80
80
80
78
78
78
77
77
77
76
76
76
75
75
74
74
73
71
71
69
69
69
68
67
67
67
67
67
66
66
66
66
65
64
64
64
63
63
62
61
61
60
60
60
60
60
59
58
58
58
57
57
57
57
56
56
55
55
54
54
54
54
53
53
53
53
52
52
52
51
51
50
50
50
50
50
50
50
49
49
48
48
48
48
47
47
47
46
46
46
45
45
45
44
44
43
43
43
43
42
42
42
42
42
42
41
41
41
41
40
40
40
40
40
40
39
39
38
38
38
38
37
37
37
36
36
36
36
36
35
35
35
33
33
33
33
32
32
31
31
30
30
30
30
30
29
28
28
28
28
28
27
27
27
27
27
27
27
27
27
27
26
26
26
26
26
26
26
26
26
26
26
25
25
25
24
24
24
24
24
24
24
23
22
22
22
22
21
21
21
21
21
21
21
20
20
20
20
20
20
20
20
19
19
19
19
19
18
18
18
18
18
18
18
18
18
17
17
17
17
17
17
16
16
16
16
16
16
15
15
15
15
15
15
15
15
15
15
14
14
14
14
14
13
13
13
13
13
13
13
13
13
13
13
12
12
12
12
12
12
11
11
11
11
11
11
11
10
10
10
10
9
9
9
9
9
9
9
9
9
9
9
9
9
8
8
8
8
8
8
8
8
8
8
7
7
7
7
7
7
7
7
7
7
7
7
7
7
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
